section,company,date,ref,status,party,vehicle_no,warehouse,item_code,item_name,qty,uom,litres,value_inr,in_sap,lag_days,evidence,note
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080631,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1890000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080632,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1890000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-29,626080633,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1890000,yes (stock already OUT of OITW),1,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080584,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080585,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080586,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080587,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,10.0,1775,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080588,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7600.0,1398600,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080589,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1285200,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080590,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080591,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,15.0,2700,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080592,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,4.0,560,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080593,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,4.0,740,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080594,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080601,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,2.0,340,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080602,"invoiced, no gate-out recorded",M/S RADHEY SHAM & SONS,,BH-BT,,,,,2000.0,337997,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080603,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,1.0,150,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080605,"invoiced, no gate-out recorded",M/S RADHEY SHAM & SONS,,BH-PF,,,,,3230.8,487173,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-27,626080608,"invoiced, no gate-out recorded",SEA BREEZE,,BH-PF,,,,,2010.0,353759,yes (stock already OUT of OITW),3,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080548,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080549,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080550,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080551,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080553,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,2646000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080554,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-BT,,,,,8000.0,1344000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080555,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-BT,,,,,8000.0,1344000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080556,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-BT,,,,,8000.0,1344000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080561,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-BT,,,,,8000.0,1344000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080567,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7876.0,1384698,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080569,"invoiced, no gate-out recorded",RAVINDER SINGH CHADHA IMPREST JWPL0011,,BH-BT,,,,,2.0,310,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080570,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,0.5,250,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080572,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1512000,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080574,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-26,626080583,"invoiced, no gate-out recorded",GLOBAL SALES,,BH-BT,,,,,11004.0,2144233,yes (stock already OUT of OITW),4,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080520,"invoiced, no gate-out recorded",KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,,BH-BT,,,,,11593.0,2912000,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080523,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,10.0,1775,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080525,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080526,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1519560,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080527,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1344000,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080528,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1344000,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080529,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1344000,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080532,"invoiced, no gate-out recorded",ILAHI CO. (BTCPN5063N),,BH-BT,,,,,5.5,1068,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080537,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,5040.0,846720,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-25,626080542,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1344000,yes (stock already OUT of OITW),5,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080486,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080487,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080490,"invoiced, no gate-out recorded",BRIJ LAL DURGA DASS,,BH-BT,,,,,1320.0,205918,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080491,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080492,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080493,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080494,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080501,"invoiced, no gate-out recorded",BRIJ LAL SOHAN LAL,,BH-BT,,,,,5000.0,804985,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080504,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,2.0,1120,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080505,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,5.0,730,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080506,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080507,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080508,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080509,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080510,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7960.0,1337280,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-24,626080517,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-BT,,,,,11200.0,2436000,yes (stock already OUT of OITW),6,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080463,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,4800.0,806400,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080464,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,5.0,700,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080465,"invoiced, no gate-out recorded",HARPREET SINGH CASH SALE,,BH-BT,,,,,2.0,340,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080467,"invoiced, no gate-out recorded",KULPREET SINGH IMPREST JWPL1364,,BH-PF,,,,,5.0,9257,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,external customer - still physically in the godown unless it left untracked
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080469,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,10400.0,2730000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080470,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,6370.0,1176000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080471,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080472,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,7200.0,1360800,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080473,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,9000.0,1512000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080474,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,9000.0,1512000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080475,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
OPEN_BILL_ON_FLOOR,JIVO_OIL,2026-08-22,626080477,"invoiced, no gate-out recorded",JIVO MART PVT LTD,,BH-PF,,,,,8000.0,1428000,yes (stock already OUT of OITW),8,hana-sql JIVO_OIL_HANADB OINV/INV1/OINM + GET /gate-core/sales-dispatch/?from_date&to_date&all_companies=1&page=,"INTERCOMPANY - goes to Mart's books, never sees the gate"
